zzz ***Sun Mar 7 06:38:00 EST 2021
Linux 5.3.18-lp152.60-default (proxima.internal.paredes.pw) 	03/07/2021 	_x86_64_	(20 CPU)

06:38:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:38:00 PM   501      4276    0.00    0.00    0.00    0.00    0.00    18  klauncher
06:38:00 PM   501      4284    0.01    0.00    0.00    0.00    0.02    19  kded5
06:38:00 PM   501      4291    0.00    0.00    0.00    0.00    0.00    10  kaccess
06:38:00 PM   501      4297    0.00    0.00    0.00    0.00    0.00     3  kglobalaccel5
06:38:00 PM   501      4303    0.00    0.00    0.00    0.00    0.00    19  dconf-service
06:38:00 PM   501      4312    0.00    0.00    0.00    0.00    0.00    15  plasma_session
06:38:00 PM   501      4315    0.00    0.00    0.00    0.00    0.00    12  ksmserver
06:38:00 PM   501      4318    0.00    0.00    0.00    0.00    0.00     6  kwin_x11
06:38:00 PM   501      4323    0.25    0.14    0.00    0.00    0.39     8  plasmashell
06:38:00 PM   501      4325    0.00    0.00    0.00    0.00    0.00    11  xembedsniproxy
06:38:00 PM   501      4327    0.00    0.00    0.00    0.00    0.00    16  polkit-kde-auth
06:38:00 PM   501      4338    0.00    0.00    0.00    0.00    0.00     2  kactivitymanage
06:38:00 PM   501      4345    0.00    0.00    0.00    0.00    0.01     3  kdeconnectd
06:38:00 PM   501      4347    0.00    0.00    0.00    0.00    0.00    12  gmenudbusmenupr
06:38:00 PM   501      4364    0.00    0.00    0.00    0.00    0.00     7  pulseaudio
06:38:00 PM   493      4366    0.00    0.00    0.00    0.00    0.00     3  rtkit-daemon
06:38:00 PM   501      4392    0.00    0.00    0.00    0.00    0.00     8  gconfd-2
06:38:00 PM   501      4442    0.00    0.00    0.00    0.00    0.00     9  xdg-desktop-por
06:38:00 PM   501      4453    0.00    0.00    0.00    0.00    0.00    18  baloorunner
06:38:00 PM   501      4456    0.00    0.00    0.00    0.00    0.00     4  korgac
06:38:00 PM   501      4462    0.00    0.00    0.00    0.00    0.00    17  org_kde_powerde
06:38:00 PM   501      4486    0.00    0.00    0.00    0.00    0.00     1  kscreen_backend
06:38:00 PM   501      5391    0.00    0.00    0.00    0.00    0.00     4  file.so
06:38:00 PM   501      5442    0.00    0.00    0.00    0.00    0.00     3  kwalletd5
06:38:00 PM   474      5492    0.00    0.00    0.00    0.00    0.00    10  nscd
06:38:00 PM   467      6111    0.00    0.00    0.00    0.00    0.00     9  avahi-daemon
06:38:00 PM     0      6333    0.00    0.00    0.00    0.00    0.00     8  xfsaild/dm-1
06:38:00 PM   472      9106    0.00    0.00    0.00    0.00    0.00     9  rpcbind
06:38:00 PM     0      9109    0.00    0.00    0.00    0.00    0.00    15  rpc.idmapd
06:38:00 PM     0      9111    0.00    0.00    0.00    0.00    0.00    16  rpc.mountd
06:38:00 PM     0      9117    0.00    0.00    0.00    0.00    0.00    12  nfsd
06:38:00 PM     0      9118    0.00    0.00    0.00    0.00    0.00    11  nfsd
06:38:00 PM     0      9119    0.00    0.00    0.00    0.00    0.00    17  nfsd
06:38:00 PM     0      9120    0.00    0.01    0.00    0.00    0.01    10  nfsd
06:38:00 PM     0     11036    0.00    0.00    0.00    0.00    0.00    16  wpa_supplicant
06:38:00 PM     0     11264    0.00    0.00    0.00    0.00    0.00    18  systemd-journal
06:38:00 PM     0     11447    0.00    0.00    0.00    0.00    0.00     0  systemd-udevd
06:38:00 PM   460     11851    0.00    0.00    0.00    0.00    0.00    14  unbound
06:38:00 PM     0     12165    0.00    0.00    0.00    0.00    0.00    19  master
06:38:00 PM    51     12167    0.00    0.00    0.00    0.00    0.00     9  qmgr
