zzz ***Sat Mar 6 11:22:08 EST 2021
Netid  State      Recv-Q  Send-Q                                  Local Address:Port                                        Peer Address:Port                                                                                                   
u_dgr  UNCONN     0       0                         /run/systemd/journal/syslog 21950                                                  * 0                       users:(("rsyslogd",pid=1522,fd=3),("systemd",pid=1,fd=178)) <-> ino:21951 dev:0/25
u_seq  LISTEN     0       128                                 /run/udev/control 5762506                                                * 0                       users:(("systemd-udevd",pid=11447,fd=3),("systemd",pid=1,fd=60)) <-> ino:5762507 dev:0/25 peers:
u_str  LISTEN     0       50       /run/user/501/klauncherehyYCx.1.slave-socket 57293                                                  * 0                       users:(("klauncher",pid=4276,fd=10)) <-> ino:57294 dev:0/68 peers:             
u_str  LISTEN     0       128                                 /tmp/.X11-unix/X0 57649                                                  * 0                       users:(("X",pid=4242,fd=6)) <-> ino:466 dev:0/55 peers:                        
u_str  LISTEN     0       128                               /tmp/.ICE-unix/4315 63525                                                  * 0                       users:(("ksmserver",pid=4315,fd=13)) <-> ino:470 dev:0/55 peers:               
u_str  LISTEN     0       5                                /tmp/.esd-501/socket 47654                                                  * 0                       users:(("pulseaudio",pid=4364,fd=33)) <-> ino:474 dev:0/55 peers:              
u_str  LISTEN     0       128                              /run/systemd/private 5760737                                                * 0                       users:(("systemd",pid=1,fd=16)) <-> ino:5760738 dev:0/25 peers:                
u_str  LISTEN     0       128                       /run/dbus/system_bus_socket 29166                                                  * 0                       users:(("dbus-daemon",pid=1408,fd=3),("systemd",pid=1,fd=157)) <-> ino:29168 dev:0/25 peers:
u_str  LISTEN     0       128                         /var/run/pcscd/pcscd.comm 29172                                                  * 0                       users:(("systemd",pid=1,fd=42)) <-> ino:29174 dev:0/25 peers:                  
u_str  LISTEN     0       128                          /run/avahi-daemon/socket 29175                                                  * 0                       users:(("avahi-daemon",pid=1496,fd=3),("systemd",pid=1,fd=175)) <-> ino:29177 dev:0/25 peers:
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 15089                                                  * 43033                   users:(("systemd-journal",pid=11264,fd=10),("systemd",pid=1,fd=150)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 52544                                                  * 57665                   users:(("kded5",pid=4284,fd=17)) <->                                           
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 31550                                                  * 63520                   users:(("X",pid=4242,fd=40)) <->                                               
u_str  ESTAB      0       0                                                   * 32559                                                  * 41449                   users:(("(sd-pam",pid=2229,fd=2),("(sd-pam",pid=2229,fd=1),("systemd",pid=2228,fd=2),("systemd",pid=2228,fd=1)) -->
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 41427                                                  * 30424                   users:(("systemd-journal",pid=11264,fd=16),("systemd",pid=1,fd=144)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 46655                                                  * 30638                   users:(("obexd",pid=3174,fd=6)) <->                                            
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 39001                                                  * 17318                   users:(("systemd-journal",pid=11264,fd=15),("systemd",pid=1,fd=145)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 8794175                                                * 8650491                 users:(("systemd-journal",pid=11264,fd=57),("systemd",pid=1,fd=115)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 26504                                                  * 54967                   users:(("kwin_x11",pid=4318,fd=3)) <->                                         
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 44481                                                  * 24255                   users:(("systemd-journal",pid=11264,fd=22),("systemd",pid=1,fd=138)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 5658598                                                * 5658599                 users:(("master",pid=12165,fd=61)) <->                                         
u_str  ESTAB      0       0                                                   * 5658590                                                * 5658589                 users:(("master",pid=12165,fd=53)) <->                                         
u_str  ESTAB      0       0                                                   * 43906                                                  * 65575                   users:(("obexd",pid=4513,fd=2)) -->                                            
u_str  ESTAB      0       0                                                   * 74548                                                  * 59143                   users:(("kwalletd5",pid=5442,fd=2)) -->                                        
u_str  ESTAB      0       0                                                   * 47644                                                  * 56031                   users:(("pulseaudio",pid=4364,fd=15)) <->                                      
u_str  ESTAB      0       0                                                   * 9497533                                                * 9497534                 users:(("sshd",pid=25439,fd=5)) <->                                            
u_str  ESTAB      0       0                                   /run/user/501/bus 53442                                                  * 52198                   users:(("dbus-daemon",pid=4256,fd=17)) <-> ino:57265 dev:0/68                  
u_dgr  UNCONN     0       0                                                   * 13983                                                  * 20076                   users:(("avahi-daemon",pid=1496,fd=4)) <->                                     
u_str  ESTAB      0       0                                                   * 34062                                                  * 34061                   users:(("auditd",pid=1149,fd=10)) <->                                          
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 64595                                                  * 56077                   users:(("dbus-daemon",pid=1408,fd=43)) <-> ino:29168 dev:0/25                  
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 5735732                                                * 5760722                 users:(("systemd-journal",pid=11264,fd=46),("systemd",pid=1,fd=117)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                                   * 3568716                                                * 3568715                 users:(("unbound",pid=11851,fd=27)) <->                                        
u_str  ESTAB      0       0                                                   * 58933                                                  * 49897                   users:(("xdg-desktop-por",pid=4442,fd=8)) <->                                  
u_dgr  UNCONN     0       0                                                   * 61575                                                  * 61576                   users:(("systemd",pid=1,fd=107)) <->                                           
u_str  ESTAB      0       0                         /run/dbus/system_bus_socket 47099                                                  * 57651                   users:(("dbus-daemon",pid=1408,fd=15)) <-> ino:29168 dev:0/25                  
u_dgr  UNCONN     0       0                                                   * 9842802                                                * 20076                   users:(("sshd",pid=28230,fd=3),("sshd",pid=28228,fd=3)) <->                    
u_str  ESTAB      0       0                                                   * 3568702                                                * 3568701                 users:(("unbound",pid=11851,fd=13)) <->                                        
u_str  ESTAB      0       0                                                   * 31580                                                  * 65583                   users:(("plasmashell",pid=4323,fd=26)) <->                                     
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 54964                                                  * 31556                   users:(("X",pid=4242,fd=41)) <->                                               
u_str  ESTAB      0       0                                                   * 9530733                                                * 9530732                 users:(("sshd",pid=23654,fd=8)) <->                                            
u_dgr  UNCONN     0       0                                                   * 8729182                                                * 20076                   users:(("openconnect",pid=1681,fd=6)) <->                                      
u_str  ESTAB      0       0                                                   * 55187                                                  * 43898                   users:(("kscreen_backend",pid=4486,fd=7)) <->                                  
u_str  ESTAB      0       0                                                   * 52543                                                  * 57664                   users:(("kactivitymanage",pid=4338,fd=7)) <->                                  
u_dgr  UNCONN     0       0                                                   * 32567                                                  * 20082                   users:(("systemd",pid=2228,fd=3)) <->                                          
u_str  ESTAB      0       0                                                   * 26850                                                  * 28365                   users:(("haveged",pid=799,fd=2),("haveged",pid=799,fd=1)) -->                  
u_dgr  UNCONN     0       0                                                   * 5764086                                                * 20076                   users:(("master",pid=12165,fd=3)) <->                                          
u_str  ESTAB      0       0                                                   * 57278                                                  * 47102                   users:(("systemd",pid=4115,fd=18)) <->                                         
u_str  ESTAB      0       0                                                   * 5772290                                                * 5772289                 users:(("master",pid=12165,fd=89)) <->                                         
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 62501                                                  * 26512                   users:(("X",pid=4242,fd=53)) <->                                               
u_str  ESTAB      0       0                                                   * 56027                                                  * 31541                   users:(("dconf-service",pid=4303,fd=5)) <->                                    
u_str  ESTAB      0       0                                                   * 5658586                                                * 5658587                 users:(("master",pid=12165,fd=49)) <->                                         
u_str  ESTAB      0       0                         /run/systemd/journal/stdout 65566                                                  * 43894                   users:(("systemd-journal",pid=11264,fd=37),("systemd",pid=1,fd=124)) <-- ino:20081 dev:0/25
u_str  ESTAB      0       0                                  @/tmp/.X11-unix/X0 63542                                                  * 43862                   users:(("X",pid=4242,fd=50)) <->                                               
u_str  ESTAB      0       0                                                   * 44199                                                  * 29309                   users:(("sshd",pid=1613,fd=2),("sshd",pid=1613,fd=1)) -->                      
