zzz ***Sun Mar 7 06:37:55 EST 2021
slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
skbuff_ext_cache   22580  23680    128   32    1 : tunables    0    0    0 : slabdata    740    740      0
skbuff_fclone_cache   1354   1504    512   32    4 : tunables    0    0    0 : slabdata     47     47      0
skbuff_head_cache   4596   4800    256   32    2 : tunables    0    0    0 : slabdata    150    150      0
file_lock_cache      740    740    216   37    2 : tunables    0    0    0 : slabdata     20     20      0
file_lock_ctx       1460   1460     56   73    1 : tunables    0    0    0 : slabdata     20     20      0
fsnotify_mark_connector  16000  16000     32  128    1 : tunables    0    0    0 : slabdata    125    125      0
net_namespace         30     30   4736    6    8 : tunables    0    0    0 : slabdata      5      5      0
task_delay_info    11118  11118     80   51    1 : tunables    0    0    0 : slabdata    218    218      0
taskstats            940    940    344   47    4 : tunables    0    0    0 : slabdata     20     20      0
proc_dir_entry      1890   1890    192   42    2 : tunables    0    0    0 : slabdata     45     45      0
pde_opener          2040   2040     40  102    1 : tunables    0    0    0 : slabdata     20     20      0
proc_inode_cache    8143   9240    672   24    4 : tunables    0    0    0 : slabdata    385    385      0
bdev_cache           429    429    832   39    8 : tunables    0    0    0 : slabdata     11     11      0
shmem_inode_cache   8334   8878    712   46    8 : tunables    0    0    0 : slabdata    193    193      0
kernfs_node_cache  63450  63450    136   30    1 : tunables    0    0    0 : slabdata   2115   2115      0
mnt_cache           1294   1350    320   25    2 : tunables    0    0    0 : slabdata     54     54      0
filp               11432  13056    256   32    2 : tunables    0    0    0 : slabdata    408    408      0
inode_cache        36778  38259    600   27    4 : tunables    0    0    0 : slabdata   1417   1417      0
dentry            376194 378924    192   42    2 : tunables    0    0    0 : slabdata   9022   9022      0
names_cache          176    176   4096    8    8 : tunables    0    0    0 : slabdata     22     22      0
iint_cache             0      0    120   34    1 : tunables    0    0    0 : slabdata      0      0      0
lsm_file_cache     18870  18870     24  170    1 : tunables    0    0    0 : slabdata    111    111      0
buffer_head         1841   1911    104   39    1 : tunables    0    0    0 : slabdata     49     49      0
uts_namespace          0      0    440   37    4 : tunables    0    0    0 : slabdata      0      0      0
vm_area_struct     32799  32799    208   39    2 : tunables    0    0    0 : slabdata    841    841      0
mm_struct            756    756   1152   28    8 : tunables    0    0    0 : slabdata     27     27      0
